CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
07193-6;26/02/2024;26/02/2024;04085-000;SP;04085-000;SP
07193-6;11/03/2024;11/03/2024;04085-000;SP;04085-000;SP
07193-6;18/03/2024;18/03/2024;04085-000;SP;04085-000;SP
07193-6;25/03/2024;25/03/2024;04085-000;SP;04085-000;SP
07193-6;01/04/2024;01/04/2024;04085-000;SP;04085-000;SP
07194-4;08/01/2024;08/01/2024;02302-070;SP;02302-070;SP
07194-4;29/01/2024;29/01/2024;02302-070;SP;02302-070;SP
07194-4;05/02/2024;05/02/2024;02302-070;SP;02302-070;SP
07194-4;05/02/2024;05/02/2024;02302-070;SP;02302-070;SP
07194-4;12/02/2024;12/02/2024;02302-070;SP;02302-070;SP
07194-4;19/02/2024;19/02/2024;02302-070;SP;02302-070;SP
07194-4;26/02/2024;26/02/2024;02302-070;SP;02302-070;SP
07194-4;04/03/2024;04/03/2024;02302-070;SP;02302-070;SP
07194-4;11/03/2024;11/03/2024;02302-070;SP;02302-070;SP
07194-4;18/03/2024;18/03/2024;02302-070;SP;02302-070;SP
07194-4;25/03/2024;25/03/2024;02302-070;SP;02302-070;SP
07194-4;01/04/2024;01/04/2024;02302-070;SP;02302-070;SP
07195-1;02/01/2024;02/01/2024;05717-240;SP;05717-240;SP
07195-1;02/01/2024;02/01/2024;05717-240;SP;05717-240;SP
07195-1;08/01/2024;08/01/2024;05717-240;SP;05717-240;SP
07195-1;15/01/2024;15/01/2024;05717-240;SP;05717-240;SP
07195-1;22/01/2024;22/01/2024;05717-240;SP;05717-240;SP
07195-1;29/01/2024;29/01/2024;05717-240;SP;05717-240;SP
07195-1;05/02/2024;05/02/2024;05717-240;SP;05717-240;SP
07195-1;12/02/2024;12/02/2024;05717-240;SP;05717-240;SP
07195-1;19/02/2024;19/02/2024;05717-240;SP;05717-240;SP
07195-1;04/03/2024;04/03/2024;05717-240;SP;05717-240;SP
07195-1;11/03/2024;11/03/2024;05717-240;SP;05717-240;SP
07195-1;18/03/2024;18/03/2024;05717-240;SP;05717-240;SP
07195-1;01/04/2024;01/04/2024;05717-240;SP;05717-240;SP
07196-9;09/01/2024;09/01/2024;04142-092;SP;04142-092;SP
07196-9;16/01/2024;16/01/2024;04142-092;SP;04142-092;SP
07196-9;23/01/2024;23/01/2024;04142-092;SP;04142-092;SP
07196-9;30/01/2024;30/01/2024;04142-092;SP;04142-092;SP
07196-9;12/02/2024;12/02/2024;04142-092;SP;04142-092;SP
07196-9;20/02/2024;20/02/2024;04142-092;SP;04142-092;SP
07196-9;27/02/2024;27/02/2024;04142-092;SP;04142-092;SP
07196-9;05/03/2024;05/03/2024;04142-092;SP;04142-092;SP
07196-9;12/03/2024;12/03/2024;04142-092;SP;04142-092;SP
07196-9;19/03/2024;19/03/2024;04142-092;SP;04142-092;SP
07196-9;26/03/2024;26/03/2024;04142-092;SP;04142-092;SP
07196-9;01/04/2024;01/04/2024;04142-092;SP;04142-092;SP
07197-7;03/01/2024;03/01/2024;04025-013;SP;04025-013;SP
07197-7;23/01/2024;23/01/2024;04025-013;SP;04025-013;SP
07197-7;30/01/2024;30/01/2024;04025-013;SP;04025-013;SP
07197-7;06/02/2024;06/02/2024;04025-013;SP;04025-013;SP
07197-7;12/02/2024;12/02/2024;04025-013;SP;04025-013;SP
07197-7;20/02/2024;20/02/2024;04025-013;SP;04025-013;SP
07197-7;27/02/2024;27/02/2024;04025-013;SP;04025-013;SP
07197-7;05/03/2024;05/03/2024;04025-013;SP;04025-013;SP
07197-7;12/03/2024;12/03/2024;04025-013;SP;04025-013;SP
07197-7;19/03/2024;19/03/2024;04025-013;SP;04025-013;SP
07197-7;26/03/2024;26/03/2024;04025-013;SP;04025-013;SP
07197-7;01/04/2024;01/04/2024;04025-013;SP;04025-013;SP
07199-3;03/01/2024;03/01/2024;11060-470;SP;11060-470;SP
07199-3;19/02/2024;19/02/2024;11060-470;SP;11060-470;SP
07199-3;13/03/2024;13/03/2024;11060-470;SP;11060-470;SP
07199-3;13/03/2024;13/03/2024;11060-470;SP;11060-470;SP
07204-1;17/01/2024;17/01/2024;05847-000;SP;05847-000;SP
07204-1;19/02/2024;19/02/2024;05847-000;SP;05847-000;SP
07207-4;09/02/2024;09/02/2024;05038-000;SP;05038-000;SP
07221-5;23/01/2024;25/01/2024;05577-300;SP;05577-300;SP
07221-5;29/01/2024;15/02/2024;05577-300;SP;05577-300;SP
07221-5;29/01/2024;15/02/2024;05577-300;SP;05577-300;SP
07221-5;21/02/2024;22/02/2024;05577-300;SP;05577-300;SP
07221-5;29/02/2024;07/03/2024;05577-300;SP;05577-300;SP
07221-5;13/03/2024;18/03/2024;05577-300;SP;05577-300;SP
07221-5;22/03/2024;25/03/2025;05577-300;SP;05577-300;SP
07221-5;09/01/2024;09/01/2024;05577-300;SP;05577-300;SP
07230-6;15/03/2024;15/03/2024;04513-100;SP;04513-100;SP
07231-4;26/03/2024;26/03/2024;03314-000;SP;03314-000;SP
07233-0;11/01/2024;11/01/2024;04009-020;SP;04009-020;SP
07259-5;26/03/2024;26/03/2024;14025-020;SP;14025-020;SP
07259-5;08/01/2024;08/01/2024;14025-020;SP;14025-020;SP
07259-5;02/02/2024;02/02/2024;14025-020;SP;14025-020;SP
07259-5;27/02/2024;27/02/2024;14025-020;SP;14025-020;SP
07270-2;03/01/2024;03/01/2024;11065-405;SP;11065-405;SP
07270-2;19/02/2024;19/02/2024;11065-405;SP;11065-405;SP
07270-2;13/03/2024;13/03/2024;11065-405;SP;11065-405;SP
07275-1;23/01/2024;23/01/2024;04043-200;SP;04043-200;SP
07275-1;08/02/2024;08/02/2024;04043-200;SP;04043-200;SP
07275-1;05/03/2024;05/03/2024;04043-200;SP;04043-200;SP
07275-1;08/03/2024;08/03/2024;04043-200;SP;04043-200;SP
07285-0;19/03/2024;19/03/2024;06473-000;SP;06473-000;SP
07295-9;04/01/2024;04/01/2024;11700-010;SP;11700-010;SP
07295-9;23/01/2024;23/01/2024;11700-010;SP;11700-010;SP
07295-9;12/02/2024;12/02/2024;11700-010;SP;11700-010;SP
07295-9;28/02/2024;28/02/2024;11700-010;SP;11700-010;SP
07295-9;26/03/2024;26/03/2024;11700-010;SP;11700-010;SP
07297-5;19/01/2024;19/01/2024;13289-186;SP;13289-186;SP
07306-4;18/01/2024;18/01/2024;09210-580;SP;09210-580;SP
07312-2;17/01/2024;17/01/2024;11030-381;SP;11030-381;SP
07312-2;31/01/2024;31/01/2024;11030-381;SP;11030-381;SP
07312-2;28/02/2024;28/02/2024;11030-381;SP;11030-381;SP
07312-2;19/03/2024;19/03/2024;11030-381;SP;11030-381;SP
07312-2;22/03/2024;22/03/2024;11030-381;SP;11030-381;SP
07319-7;14/02/2024;14/02/2024;18047-620;SP;18047-620;SP
07324-7;11/01/2024;11/01/2024;04858-002;SP;04864-090;SP
07324-7;03/04/2024;03/04/2024;04858-002;SP;04864-090;SP
07331-2;11/01/2024;11/01/2024;13208-051;SP;13208-051;SP
07331-2;19/02/2024;19/02/2024;13208-051;SP;13208-051;SP
07331-2;21/03/2024;21/03/2024;13208-051;SP;13208-051;SP
07345-2;23/01/2024;23/01/2024;03126-000;SP;03126-000;SP
07345-2;04/03/2024;04/03/2024;03126-000;SP;03126-000;SP
07356-9;15/01/2024;15/01/2024;06711-508;SP;06711-508;SP
07356-9;30/01/2024;30/01/2024;06711-508;SP;06711-508;SP
07356-9;21/03/2024;21/03/2024;06711-508;SP;06711-508;SP
07365-0;02/01/2024;02/01/2024;06764-290;SP;06764-290;SP
07365-0;25/01/2024;25/01/2024;06764-290;SP;06764-290;SP
07365-0;12/03/2024;12/03/2024;06764-290;SP;06764-290;SP
07393-2;02/01/2024;02/01/2024;01506-010;SP;01506-010;SP
07393-2;09/01/2024;09/01/2024;01506-010;SP;01506-010;SP
07393-2;13/02/2024;13/02/2024;01506-010;SP;01506-010;SP
07393-2;20/02/2024;20/02/2024;01506-010;SP;01506-010;SP
07393-2;12/03/2024;12/03/2024;01506-010;SP;01506-010;SP
07407-0;17/01/2024;17/01/2024;11700-310;SP;11700-310;SP
07407-0;31/01/2024;31/01/2024;11700-310;SP;11700-310;SP
07407-0;28/02/2024;28/02/2024;11700-310;SP;11700-310;SP
07407-0;13/03/2024;13/03/2024;11700-310;SP;11700-310;SP
07431-0;28/03/2024;28/03/2024;08674-210;SP;08674-210;SP
07436-9;15/02/2024;15/02/2024;04055-000;SP;04055-000;SP
07444-3;21/02/2024;21/02/2024;11690-600;SP;11690-600;SP
07451-8;31/01/2024;31/01/2024;11040-140;SP;11065-001;SP
07451-8;28/02/2024;28/02/2024;11040-140;SP;11065-001;SP
07453-4;03/01/2024;03/01/2024;13025-320;SP;13025-320;SP
07469-0;15/03/2024;15/03/2024;05010-040;SP;05010-040;SP
07469-0;08/01/2024;08/01/2024;05010-040;SP;05010-040;SP
07469-0;07/02/2024;07/02/2024;05010-040;SP;05010-040;SP
07469-0;04/03/2024;04/03/2024;05010-040;SP;05010-040;SP
07469-0;06/03/2024;06/03/2024;05010-040;SP;05010-040;SP
07469-0;13/03/2024;13/03/2024;05010-040;SP;05010-040;SP
07470-8;10/01/2024;10/01/2024;13256-640;SP;13256-640;SP
07470-8;16/02/2024;16/02/2024;13256-640;SP;13256-640;SP
07470-8;27/02/2024;27/02/2024;13256-640;SP;13256-640;SP
07478-1;26/02/2024;26/02/2024;18550-790;SP;18550-790;SP
07478-1;01/04/2024;01/04/2024;18550-790;SP;18550-790;SP
07481-5;08/03/2024;08/03/2024;04080-004;SP;04080-004;SP
07491-4;03/01/2024;03/01/2024;01411-000;SP;01411-000;SP
07491-4;25/01/2024;25/01/2024;01411-000;SP;01411-000;SP
07491-4;15/02/2024;15/02/2024;01411-000;SP;01411-000;SP
07491-4;21/03/2024;21/03/2024;01411-000;SP;01411-000;SP
07497-1;01/02/2024;01/02/2024;14096-079;SP;14096-079;SP
07512-7;15/01/2024;15/01/2024;05083-030;SP;05083-030;SP
07525-9;14/02/2024;14/02/2024;04715-003;SP;04715-003;SP
07531-7;09/01/2024;09/01/2024;15084-060;SP;15084-060;SP
07531-7;18/03/2024;18/03/2024;15084-060;SP;15084-060;SP
07543-2;11/01/2024;11/01/2024;01506-020;SP;01506-020;SP
07543-2;25/01/2024;25/01/2024;01506-020;SP;01506-020;SP
07543-2;08/02/2024;08/02/2024;01506-020;SP;01506-020;SP
07543-2;22/02/2024;22/02/2024;01506-020;SP;01506-020;SP
07543-2;14/03/2024;14/03/2024;01506-020;SP;01506-020;SP
07544-0;11/01/2024;11/01/2024;09911-190;SP;09911-190;SP
07544-0;30/01/2024;30/01/2024;09911-190;SP;09911-190;SP
07544-0;14/02/2024;14/02/2024;09911-190;SP;09911-190;SP
07544-0;04/03/2024;04/03/2024;09911-190;SP;09911-190;SP
07544-0;18/03/2024;18/03/2024;09911-190;SP;09911-190;SP
07554-9;10/01/2024;10/01/2024;04039-031;SP;04039-031;SP
07554-9;06/02/2024;06/02/2024;04039-031;SP;04039-031;SP
07561-4;02/02/2024;02/02/2024;01423-003;SP;01423-003;SP
07593-7;28/02/2024;28/02/2024;04545-040;SP;04545-040;SP
07598-6;16/01/2024;16/01/2024;18095-450;SP;18095-450;SP
07599-4;05/02/2024;05/02/2024;18031-005;SP;18031-005;SP
07599-4;01/04/2024;01/04/2024;18031-005;SP;18031-005;SP
07642-2;03/04/2024;03/04/2024;13084-012;SP;13084-012;SP
07642-2;10/01/2024;10/01/2024;13084-012;SP;13084-012;SP
07642-2;24/01/2024;24/01/2024;13084-012;SP;13084-012;SP
07642-2;06/03/2024;06/03/2024;13084-012;SP;13084-012;SP
07671-1;02/02/2024;02/02/2024;05351-000;SP;05351-000;SP
07671-1;03/04/2024;03/04/2024;05351-000;SP;05351-000;SP
07765-1;19/03/2024;19/03/2024;04532-000;SP;04532-000;SP
07766-9;26/02/2024;26/02/2024;04524-001;SP;04524-001;SP
07766-9;27/03/2024;27/03/2024;04524-001;SP;04524-001;SP
07841-0;03/01/2024;03/01/2024;13284-014;SP;13284-014;SP
07841-0;10/01/2024;10/01/2024;13284-014;SP;13284-014;SP
07874-1;16/02/2024;16/02/2024;08693-010;SP;08693-010;SP
07874-1;19/01/2024;19/01/2024;08693-010;SP;08693-010;SP
07874-1;15/02/2024;15/02/2024;08693-010;SP;08693-010;SP
07874-1;16/02/2024;16/02/2024;08693-010;SP;08693-010;SP
07874-1;08/03/2024;08/03/2024;08693-010;SP;08693-010;SP
07874-1;20/03/2024;20/03/2024;08693-010;SP;08693-010;SP
07874-1;25/03/2024;25/03/2024;08693-010;SP;08693-010;SP
07874-1;25/03/2024;25/03/2024;08693-010;SP;08693-010;SP
07894-9;04/03/2024;04/03/2024;06447-190;SP;06447-190;SP
07953-3;06/02/2024;06/02/2024;03114-000;SP;03114-000;SP
08036-6;04/01/2024;04/01/2024;05008-002;SP;05008-002;SP
08036-6;05/01/2024;05/01/2024;05008-002;SP;05008-002;SP
08036-6;29/01/2024;29/01/2024;05008-002;SP;05008-002;SP
08036-6;07/02/2024;07/02/2024;05008-002;SP;05008-002;SP
08036-6;28/02/2024;28/02/2024;05008-002;SP;05008-002;SP
08036-6;21/03/2024;21/03/2024;05008-002;SP;05008-002;SP
08036-6;03/04/2024;03/04/2024;05008-002;SP;05008-002;SP
08038-2;06/03/2024;06/03/2024;13338-050;SP;13338-050;SP
08038-2;03/04/2024;03/04/2024;13338-050;SP;13338-050;SP
08038-2;10/01/2024;10/01/2024;13338-050;SP;13338-050;SP
08038-2;07/02/2024;07/02/2024;13338-050;SP;13338-050;SP
08173-7;29/01/2024;29/01/2024;02083-000;SP;02083-000;SP
68828-3;07/02/2024;07/02/2024;13024-200;SP;13024-200;SP
68828-3;05/03/2024;05/03/2024;13024-200;SP;13024-200;SP
68828-3;20/03/2024;20/03/2024;13024-200;SP;13024-200;SP
68828-3;10/01/2024;10/01/2024;13024-200;SP;13024-200;SP
68828-3;24/01/2024;24/01/2024;13024-200;SP;13024-200;SP
68832-5;05/01/2024;05/01/2024;04364-030;SP;04364-030;SP
68832-5;15/02/2024;15/02/2024;04364-030;SP;04364-030;SP
68838-2;15/01/2024;15/01/2024;15600-028;SP;15600-028;SP
82519-0;25/01/2024;25/01/2024;08780-100;SP;08780-100;SP
82519-0;23/02/2024;23/02/2024;08780-100;SP;08780-100;SP
82519-0;25/03/2024;25/03/2024;08780-100;SP;08780-100;SP
82544-8;05/01/2024;05/01/2024;04082-000;SP;04082-000;SP
82544-8;12/01/2024;12/01/2024;04082-000;SP;04082-000;SP
82544-8;07/02/2024;07/02/2024;04082-000;SP;04082-000;SP
82544-8;26/02/2024;26/02/2024;04082-000;SP;04082-000;SP
82544-8;12/03/2024;12/03/2024;04082-000;SP;04082-000;SP
82544-8;15/03/2024;15/03/2024;04082-000;SP;04082-000;SP
82563-8;03/01/2024;03/01/2024;05417-002;SP;05417-002;SP
82563-8;27/03/2024;27/03/2024;05417-002;SP;05417-002;SP
82564-6;20/02/2024;20/02/2024;09541-180;SP;09541-180;SP
82564-6;19/03/2024;19/03/2024;09541-180;SP;09541-180;SP
82582-8;16/02/2024;16/02/2024;09541-300;SP;09541-300;SP
82582-8;19/03/2024;19/03/2024;09541-300;SP;09541-300;SP
82685-9;02/01/2024;02/01/2024;05051-001;SP;05051-001;SP
82685-9;15/01/2024;15/01/2024;05051-001;SP;05051-001;SP
82685-9;05/02/2024;05/02/2024;05051-001;SP;05051-001;SP
82685-9;20/02/2024;20/02/2024;05051-001;SP;05051-001;SP
82685-9;26/02/2024;26/02/2024;05051-001;SP;05051-001;SP
82685-9;18/03/2024;18/03/2024;05051-001;SP;05051-001;SP
82685-9;22/03/2024;22/03/2024;05051-001;SP;05051-001;SP
82685-9;01/04/2024;01/04/2024;05051-001;SP;05051-001;SP
82704-8;02/01/2024;02/01/2024;04307-100;SP;04307-100;SP
82704-8;30/01/2024;30/01/2024;04307-100;SP;04307-100;SP
82704-8;27/02/2024;27/02/2024;04307-100;SP;04307-100;SP
82720-4;27/03/2024;27/03/2024;13845-403;SP;13845-403;SP
82720-4;04/01/2024;04/01/2024;13845-403;SP;13845-403;SP
82720-4;10/01/2024;10/01/2024;13845-403;SP;13845-403;SP
82720-4;23/01/2024;23/01/2024;13845-403;SP;13845-403;SP
82720-4;05/02/2024;05/02/2024;13845-403;SP;13845-403;SP
82720-4;19/02/2024;19/02/2024;13845-403;SP;13845-403;SP
82720-4;05/03/2024;05/03/2024;13845-403;SP;13845-403;SP
82720-4;19/03/2024;19/03/2024;13845-403;SP;13845-403;SP
82720-4;27/03/2024;27/03/2024;13845-403;SP;13845-403;SP
82720-4;01/04/2024;01/04/2024;13845-403;SP;13845-403;SP
82720-4;03/04/2024;03/04/2024;13845-403;SP;13845-403;SP
82734-5;25/01/2024;25/01/2024;01537-001;SP;01537-001;SP
82734-5;15/02/2024;15/02/2024;01537-001;SP;01537-001;SP
82734-5;27/02/2024;27/02/2024;01537-001;SP;01537-001;SP
82734-5;20/03/2024;20/03/2024;01537-001;SP;01537-001;SP
82734-5;15/03/2024;15/03/2024;01537-001;SP;01537-001;SP
82809-5;11/01/2024;11/01/2024;04301-010;SP;04301-010;SP
82809-5;12/03/2024;12/03/2024;04301-010;SP;04301-010;SP
82898-8;04/01/2024;04/01/2024;09190-000;SP;09190-000;SP
82898-8;09/01/2024;09/01/2024;09190-000;SP;09190-000;SP
82898-8;01/02/2024;01/02/2024;09190-000;SP;09190-000;SP
82898-8;15/02/2024;15/02/2024;09190-000;SP;09190-000;SP
82898-8;27/02/2024;27/02/2024;09190-000;SP;09190-000;SP
82898-8;05/03/2024;05/03/2024;09190-000;SP;09190-000;SP
82898-8;21/03/2024;21/03/2024;09190-000;SP;09190-000;SP
82937-4;04/03/2024;04/03/2024;08673-150;SP;08673-150;SP
82937-4;05/01/2024;05/01/2024;08673-150;SP;08673-150;SP
82937-4;17/01/2024;17/01/2024;08673-150;SP;08673-150;SP
82937-4;07/02/2024;07/02/2024;08673-150;SP;08673-150;SP
82937-4;16/02/2024;16/02/2024;08673-150;SP;08673-150;SP
82937-4;01/03/2024;01/03/2024;08673-150;SP;08673-150;SP
82937-4;04/03/2024;04/03/2024;08673-150;SP;08673-150;SP
82937-4;25/03/2024;25/03/2024;08673-150;SP;08673-150;SP
82975-4;14/02/2024;14/02/2024;06693-130;SP;06693-130;SP
82975-4;08/03/2024;08/03/2024;06693-130;SP;06693-130;SP
82989-5;27/02/2024;27/02/2024;09751-250;SP;09751-250;SP
82989-5;30/01/2024;30/01/2024;09751-250;SP;09751-250;SP
83021-6;10/01/2024;10/01/2024;13024-430;SP;13024-430;SP
83021-6;24/01/2024;24/01/2024;13024-430;SP;13024-430;SP
83021-6;21/02/2024;21/02/2024;13024-430;SP;13024-430;SP
83021-6;20/03/2024;20/03/2024;13024-430;SP;13024-430;SP
83025-7;07/02/2024;07/02/2024;04367-090;SP;04364-030;SP
83025-7;15/03/2024;15/03/2024;04367-090;SP;04364-030;SP
83025-7;25/03/2024;25/03/2024;04367-090;SP;04364-030;SP
83025-7;28/03/2024;28/03/2024;04367-090;SP;04364-030;SP
83025-7;03/04/2024;03/04/2024;04367-090;SP;04364-030;SP
83038-0;09/02/2024;09/02/2024;08610-240;SP;08610-240;SP
83043-0;12/01/2024;12/01/2024;08773-090;SP;08773-090;SP
83043-0;16/02/2024;16/02/2024;08773-090;SP;08773-090;SP
83043-0;15/03/2024;15/03/2024;08773-090;SP;08773-090;SP
83043-0;22/03/2024;22/03/2024;08773-090;SP;08773-090;SP
83058-8;30/01/2024;30/01/2024;09070-220;SP;09070-220;SP
83075-2;19/01/2024;19/01/2024;12230-000;SP;12230-000;SP
83100-8;02/01/2024;02/01/2024;13209-040;SP;13209-040;SP
83100-8;23/01/2024;23/01/2024;13209-040;SP;13209-040;SP
83100-8;13/02/2024;13/02/2024;13209-040;SP;13209-040;SP
83100-8;29/02/2024;29/02/2024;13209-040;SP;13209-040;SP
83111-5;16/01/2024;16/01/2024;06716-300;SP;06716-300;SP
83111-5;13/02/2024;13/02/2024;06716-300;SP;06716-300;SP
83111-5;07/03/2024;07/03/2024;06716-300;SP;06716-300;SP
83157-8;03/01/2024;03/01/2024;11075-535;SP;11075-535;SP
83157-8;31/01/2024;31/01/2024;11075-535;SP;11075-535;SP
83157-8;15/02/2024;15/02/2024;11075-535;SP;11075-535;SP
83157-8;19/02/2024;19/02/2024;11075-535;SP;11075-535;SP
83157-8;23/02/2024;23/02/2024;11075-535;SP;11075-535;SP
83157-8;13/03/2024;13/03/2024;11075-535;SP;11075-535;SP
83157-8;26/03/2024;26/03/2024;11075-535;SP;11075-535;SP
83160-2;09/02/2024;09/02/2024;05019-011;SP;05019-011;SP
83168-5;02/01/2024;02/01/2024;12328-070;SP;12328-070;SP
83168-5;08/01/2024;08/01/2024;12328-070;SP;12328-070;SP
83168-5;22/01/2024;22/01/2024;12328-070;SP;12328-070;SP
83168-5;30/01/2024;30/01/2024;12328-070;SP;12328-070;SP
83168-5;26/02/2024;26/02/2024;12328-070;SP;12328-070;SP
83168-5;04/03/2024;04/03/2024;12328-070;SP;12328-070;SP
83168-5;11/03/2024;11/03/2024;12328-070;SP;12328-070;SP
83168-5;18/03/2024;18/03/2024;12328-070;SP;12328-070;SP
83168-5;25/03/2024;25/03/2024;12328-070;SP;12328-070;SP
83168-5;01/04/2024;01/04/2024;12328-070;SP;12328-070;SP
83172-7;02/01/2024;02/01/2024;18035-252;SP;18035-252;SP
83172-7;15/01/2024;15/01/2024;18035-252;SP;18035-252;SP
83172-7;05/02/2024;05/02/2024;18035-252;SP;18035-252;SP
83172-7;27/02/2024;27/02/2024;18035-252;SP;18035-252;SP
83172-7;04/03/2024;04/03/2024;18035-252;SP;18035-252;SP
83172-7;25/03/2024;25/03/2024;18035-252;SP;18035-252;SP
83172-7;01/04/2024;01/04/2024;18035-252;SP;18035-252;SP
83173-5;02/01/2024;02/01/2024;13025-000;SP;13025-000;SP
83173-5;17/01/2024;17/01/2024;13025-000;SP;13025-000;SP
83173-5;30/01/2024;30/01/2024;13025-000;SP;13025-000;SP
83173-5;07/02/2024;07/02/2024;13025-000;SP;13025-000;SP
83173-5;12/02/2024;12/02/2024;13025-000;SP;13025-000;SP
83173-5;27/02/2024;27/02/2024;13025-000;SP;13025-000;SP
83173-5;11/03/2024;11/03/2024;13025-000;SP;13025-000;SP
83173-5;20/03/2024;20/03/2024;13025-000;SP;13025-000;SP
83173-5;25/03/2024;25/03/2024;13025-000;SP;13025-000;SP
83201-4;15/02/2024;15/02/2024;13414-900;SP;13414-900;SP
83201-4;26/02/2024;26/02/2024;13414-900;SP;13414-900;SP
83203-0;10/01/2024;10/01/2024;01531-000;SP;01531-000;SP
83203-0;25/01/2024;25/01/2024;01531-000;SP;01531-000;SP
83203-0;25/01/2024;25/01/2024;01531-000;SP;01531-000;SP
83203-0;13/02/2024;13/02/2024;01531-000;SP;01531-000;SP
83203-0;20/02/2024;20/02/2024;01531-000;SP;01531-000;SP
83203-0;27/02/2024;27/02/2024;01531-000;SP;01531-000;SP
83203-0;14/03/2024;14/03/2024;01531-000;SP;01531-000;SP
83203-0;15/03/2024;15/03/2024;01531-000;SP;01531-000;SP
83203-0;19/03/2024;19/03/2024;01531-000;SP;01531-000;SP
83203-0;20/03/2024;20/03/2024;01531-000;SP;01531-000;SP
83203-0;01/04/2024;01/04/2024;01531-000;SP;01531-000;SP
83203-0;01/04/2024;01/04/2024;01531-000;SP;01531-000;SP
83217-0;26/02/2024;26/02/2024;06023-000;SP;06023-000;SP
83220-4;02/01/2024;02/01/2024;06401-010;SP;06401-010;SP
83223-8;09/01/2024;09/01/2024;06023-010;SP;06023-010;SP
83223-8;23/01/2024;23/01/2024;06023-010;SP;06023-010;SP
83223-8;09/02/2024;09/02/2024;06023-010;SP;06023-010;SP
83223-8;26/02/2024;26/02/2024;06023-010;SP;06023-010;SP
83223-8;12/03/2024;12/03/2024;06023-010;SP;06023-010;SP
83223-8;28/03/2024;28/03/2024;06023-010;SP;06023-010;SP
83225-3;13/02/2024;13/02/2024;01404-003;SP;01404-003;SP
83233-7;11/03/2024;11/03/2024;06763-270;SP;06763-270;SP
83266-7;01/02/2024;01/02/2024;08650-245;SP;08650-245;SP
83266-7;02/01/2024;02/01/2024;08650-245;SP;08650-245;SP
83266-7;17/01/2024;17/01/2024;08650-245;SP;08650-245;SP
83266-7;26/01/2024;26/01/2024;08650-245;SP;08650-245;SP
83266-7;01/02/2024;01/02/2024;08650-245;SP;08650-245;SP
83266-7;06/02/2024;06/02/2024;08650-245;SP;08650-245;SP
83266-7;15/02/2024;15/02/2024;08650-245;SP;08650-245;SP
83266-7;28/02/2024;28/02/2024;08650-245;SP;08650-245;SP
83266-7;13/03/2024;13/03/2024;08650-245;SP;08650-245;SP
83266-7;22/03/2024;22/03/2024;08650-245;SP;08650-245;SP
83295-6;02/01/2024;02/01/2024;06708-100;SP;06708-100;SP
83295-6;09/02/2024;09/02/2024;06708-100;SP;06708-100;SP
83295-6;14/03/2024;14/03/2024;06708-100;SP;06708-100;SP
83327-7;15/01/2024;15/01/2024;12031-001;SP;12031-001;SP
83327-7;03/01/2024;03/01/2024;12031-001;SP;12031-001;SP
83327-7;09/01/2024;09/01/2024;12031-001;SP;12031-001;SP
83327-7;22/01/2024;22/01/2024;12031-001;SP;12031-001;SP
83327-7;29/01/2024;29/01/2024;12031-001;SP;12031-001;SP
83327-7;15/02/2024;15/02/2024;12031-001;SP;12031-001;SP
83327-7;26/02/2024;26/02/2024;12031-001;SP;12031-001;SP
83327-7;05/03/2024;05/03/2024;12031-001;SP;12031-001;SP
83327-7;11/03/2024;11/03/2024;12031-001;SP;12031-001;SP
83327-7;27/03/2024;27/03/2024;12031-001;SP;12031-001;SP
83336-8;06/02/2024;06/02/2024;04543-011;SP;04543-011;SP
83336-8;21/02/2024;21/02/2024;04543-011;SP;04543-011;SP
83336-8;22/02/2024;22/02/2024;04543-011;SP;04543-011;SP
83336-8;14/03/2024;14/03/2024;04543-011;SP;04543-011;SP
83336-8;03/04/2024;03/04/2024;04543-011;SP;04543-011;SP
83351-7;20/02/2024;20/02/2024;03410-000;SP;03410-000;SP
83351-7;09/01/2024;09/01/2024;03410-000;SP;03410-000;SP
83351-7;01/02/2024;01/02/2024;03410-000;SP;03410-000;SP
83351-7;20/02/2024;20/02/2024;03410-000;SP;03410-000;SP
83351-7;12/03/2024;12/03/2024;03410-000;SP;03410-000;SP
83351-7;21/03/2024;21/03/2024;03410-000;SP;03410-000;SP
83379-8;29/01/2024;29/01/2024;12243-300;SP;12243-300;SP
83379-8;25/03/2024;25/03/2024;12243-300;SP;12243-300;SP
83379-8;25/03/2024;25/03/2024;12243-300;SP;12243-300;SP
83405-1;11/01/2024;11/01/2024;04089-001;SP;04089-001;SP
83405-1;24/01/2024;24/01/2024;04089-001;SP;04089-001;SP
83405-1;25/01/2024;25/01/2024;04089-001;SP;04089-001;SP
83405-1;15/02/2024;15/02/2024;04089-001;SP;04089-001;SP
83405-1;16/02/2024;16/02/2024;04089-001;SP;04089-001;SP
83405-1;20/02/2024;20/02/2024;04089-001;SP;04089-001;SP
83405-1;26/02/2024;26/02/2024;04089-001;SP;04089-001;SP
83405-1;27/02/2024;27/02/2024;04089-001;SP;04089-001;SP
83405-1;12/03/2024;12/03/2024;04089-001;SP;04089-001;SP
83405-1;15/03/2024;15/03/2024;04089-001;SP;04089-001;SP
83405-1;18/03/2024;18/03/2024;04089-001;SP;04089-001;SP
83405-1;25/03/2024;25/03/2024;04089-001;SP;04089-001;SP
83405-1;01/04/2024;01/04/2024;04089-001;SP;04089-001;SP
