CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
05361-1;03/01/2024;03/01/2024;04364-030;SP;04364-030;SP
05380-1;09/01/2024;09/01/2024;12235-460;SP;12235-460;SP
05380-1;30/01/2024;30/01/2024;12235-460;SP;12235-460;SP
05380-1;05/03/2024;05/03/2024;12235-460;SP;12235-460;SP
05380-1;25/03/2024;25/03/2024;12235-460;SP;12235-460;SP
05396-7;10/01/2024;10/01/2024;13025-001;SP;13025-001;SP
05396-7;07/02/2024;07/02/2024;13025-001;SP;13025-001;SP
05396-7;20/03/2024;20/03/2024;13025-001;SP;13025-001;SP
05408-0;04/01/2024;04/01/2024;05434-020;SP;05434-020;SP
05408-0;22/01/2024;22/01/2024;05434-020;SP;05434-020;SP
05408-0;24/01/2024;24/01/2024;05434-020;SP;05434-020;SP
05408-0;07/02/2024;07/02/2024;05434-020;SP;05434-020;SP
05408-0;26/02/2024;26/02/2024;05434-020;SP;05434-020;SP
05408-0;21/03/2024;21/03/2024;05434-020;SP;05434-020;SP
05408-0;25/03/2024;25/03/2024;05434-020;SP;05434-020;SP
05421-3;02/02/2024;02/02/2024;08666-160;SP;08666-160;SP
05423-9;23/01/2024;23/01/2024;08666-160;SP;08666-160;SP
05431-2;22/01/2024;22/01/2024;01505-001;SP;01505-001;SP
05431-2;01/02/2024;01/02/2024;01505-001;SP;01505-001;SP
05433-8;06/02/2024;06/02/2024;04001-000;SP;04001-000;SP
05440-3;17/01/2024;17/01/2024;02302-070;SP;02302-070;SP
05446-0;10/01/2024;10/01/2024;13334-050;SP;13334-050;SP
05446-0;07/02/2024;07/02/2024;13334-050;SP;13334-050;SP
05446-0;21/02/2024;21/02/2024;13334-050;SP;13334-050;SP
05446-0;20/03/2024;20/03/2024;13334-050;SP;13334-050;SP
05446-0;03/04/2024;03/04/2024;13334-050;SP;13334-050;SP
05491-6;02/01/2024;02/01/2024;04006-042;SP;04006-042;SP
05491-6;29/02/2024;29/02/2024;04006-042;SP;04006-042;SP
05491-6;26/01/2024;26/01/2024;04006-042;SP;04006-042;SP
05491-6;22/03/2024;22/03/2024;04006-042;SP;04006-042;SP
05522-8;26/02/2024;26/02/2024;12230-000;SP;12230-000;SP
05524-4;06/02/2024;06/02/2024;04141-001;SP;04141-001;SP
05524-4;01/03/2024;01/03/2024;04141-001;SP;04141-001;SP
05524-4;14/03/2024;14/03/2024;04141-001;SP;04141-001;SP
05539-2;27/02/2024;27/02/2024;04014-000;SP;04014-000;SP
05542-6;20/02/2024;20/02/2024;09710-010;SP;09710-010;SP
05542-6;11/03/2024;11/03/2024;09710-010;SP;09710-010;SP
05554-1;26/02/2024;26/02/2024;12246-870;SP;12246-870;SP
05575-6;22/01/2024;22/01/2024;05119-000;SP;05119-000;SP
05575-6;05/02/2024;05/02/2024;05119-000;SP;05119-000;SP
05575-6;28/02/2024;28/02/2024;05119-000;SP;05119-000;SP
05585-5;09/01/2024;09/01/2024;04144-000;SP;04144-000;SP
05585-5;05/03/2024;05/03/2024;04144-000;SP;04144-000;SP
05585-5;09/01/2024;09/01/2024;04144-000;SP;04144-000;SP
